USER_ID,MONTH,THANK_YOU_STATUS,LTR,BOOKINGS,GMV
52100,2018-05-01,thank_you_call,67.408726,4,937.363
52120,2017-10-01,thank_you_call,76.093941,3,1255.841
52143,2018-08-01,no_call,156.546104,6,2418.148
52292,2019-01-01,thank_you_call,60.904646,2,998.478
52399,2018-01-01,thank_you_call,379.543296,12,7497.306
52413,2018-12-01,no_call,1243.64313,32,47959.006
52655,2018-04-01,thank_you_call,243.712942,8,5531.205
53162,2018-02-01,no_call,,,
53375,2018-07-01,no_call,80.916,3,1078.582
53430,2019-01-01,thank_you_call,168.773,3,2528.869
53766,2018-11-01,thank_you_call,45.453375,2,2627.571
53841,2018-12-01,no_call,62.172,1,653.956
53916,2018-07-01,thank_you_call,56.122,1,729.13
54303,2019-01-01,thank_you_call,169.708,4,2542.673
54352,2018-07-01,no_call,75.999,2,996.693
55600,2018-05-01,thank_you_call,88.19976,6,2704.207
55602,2018-10-01,no_call,185.873182,4,2553.672
55973,2018-02-01,thank_you_call,98.307,3,1444.983
56198,2018-08-01,thank_you_call,128.394816,4,4002.106
58995,2018-12-01,no_call,144.694,3,1265.973
60319,2018-11-01,thank_you_call,236.563987,5,6855.114
60439,2018-04-01,thank_you_call,55.683507,4,1327.683
60567,2018-04-01,thank_you_call,32.439,2,730.949
60691,2019-05-01,no_call,73.249,1,678.589
60793,2018-10-01,no_call,248.878773,14,4774.722
60801,2018-04-01,no_call,138.626356,6,2280.108
61041,2018-05-01,no_call,23.910931,1,597.329
61099,2018-02-01,no_call,423.974265,11,6002.768
61391,2018-04-01,thank_you_call,263.186,6,3378.478
62030,2019-04-01,thank_you_call,219.158456,8,3236.358
62730,2018-01-01,thank_you_call,33.252615,2,1219.971
62755,2018-01-01,thank_you_call,78.494779,2,1425.875
63428,2018-03-01,thank_you_call,36.531,4,1693.438
63967,2018-07-01,no_call,37.092,1,738.038
64572,2018-03-01,no_call,49.06,1,735.046
64704,2018-09-01,no_call,330.803,6,13526.628
64744,2019-03-01,no_call,24.1813,1,747.422
64808,2018-04-01,no_call,39.391,1,516.239
65210,2018-05-01,thank_you_call,10.316812,3,1138.439
65259,2019-01-01,no_call,55.704,2,1322.685
65409,2018-05-01,thank_you_call,39.385434,2,821.865
65520,2018-01-01,no_call,30.374729,2,1321.699
65898,2018-03-01,no_call,304.24746,21,7672.083
66048,2019-04-01,no_call,182.798,4,2230.451
66111,2018-07-01,thank_you_call,177.078,7,2042.108
66423,2018-04-01,thank_you_call,36.916,1,552.976
66645,2018-03-01,no_call,,,
66659,2018-02-01,thank_you_call,1.433432,1,859.537
67234,2018-04-01,thank_you_call,956.25035,22,27327.313
67885,2018-07-01,no_call,57.244,1,743.716
68044,2019-02-01,no_call,147.536532,3,2150.041
68167,2018-03-01,no_call,,,
68830,2018-05-01,no_call,148.917714,3,2526.778
68849,2018-08-01,no_call,34.463,1,516.375
69003,2018-01-01,no_call,237.4317,20,5470.77
70116,2018-04-01,no_call,64.68,1,821.1
71387,2018-11-01,no_call,57.937,2,867.629
71401,2017-12-01,thank_you_call,69.160454,2,1244.706
71853,2018-08-01,no_call,109.659,3,1153.484
71994,2018-08-01,thank_you_call,18.392,1,568.48
72827,2018-12-01,thank_you_call,149.89029,5,2263.669
73110,2019-04-01,no_call,187.26576,4,4260.693
73145,2018-01-01,thank_you_call,266.108953,9,5247.016
73543,2018-05-01,thank_you_call,74.701,2,1037.306
73590,2018-02-01,thank_you_call,54.435282,4,1827.806
73680,2018-02-01,thank_you_call,197.125291,6,4881.38
73745,2017-10-01,thank_you_call,178.915,11,4205.749
73960,2018-01-01,no_call,62.796932,8,6859.109
74019,2019-01-01,no_call,55.726,1,834.904
74246,2018-01-01,no_call,556.630756,35,11170.751
76759,2018-09-01,thank_you_call,164.43075,4,2634.354
76777,2019-04-01,no_call,35.342263,4,1662.005
76836,2018-04-01,thank_you_call,87.405747,3,3525.987
77060,2019-03-01,no_call,68.512719,3,821.542
77473,2018-11-01,no_call,112.805,4,1311.193
78161,2018-06-01,no_call,100.360227,21,4052.902
78238,2018-04-01,thank_you_call,,,
78935,2018-10-01,no_call,50.941,1,763.3
80647,2018-04-01,no_call,102.124022,5,2078.743
80677,2019-04-01,thank_you_call,61.665703,5,1109.777
81498,2018-01-01,no_call,,,
81593,2018-06-01,no_call,48.444,1,661.368
82079,2018-03-01,thank_you_call,2.073599,1,644.47
83285,2018-04-01,no_call,12.071312,2,989.91
84567,2018-12-01,thank_you_call,211.967041,6,5536.696
85281,2018-03-01,no_call,86.532864,1,659.634
88377,2018-02-01,thank_you_call,34.76,1,520.642
88536,2019-01-01,no_call,62.249,3,1370.438
88623,2018-03-01,thank_you_call,237.655,8,3028.04
90017,2018-08-01,thank_you_call,118.767,3,1826.106
90303,2018-03-01,thank_you_call,54.802429,3,4430.625
90617,2018-12-01,no_call,489.580696,6,8358.305
92181,2018-06-01,thank_you_call,9.130022,1,762.875
95336,2018-10-01,no_call,55.055,1,855.287
98402,2018-09-01,no_call,113.549359,3,1635.808
98534,2019-03-01,no_call,36.370444,3,1012.299
98688,2018-07-01,thank_you_call,69.421,2,933.844
101465,2019-01-01,thank_you_call,66.924,1,600.678
102402,2017-11-01,no_call,40.953,1,613.53
103242,2018-11-01,thank_you_call,49.258,1,738.004
104637,2018-09-01,thank_you_call,314.743,8,5144.744
106128,2019-02-01,no_call,73.740568,3,1222.827
107231,2018-05-01,thank_you_call,115.738788,5,2136.016
107339,2018-11-01,no_call,139.698548,3,2157.249
107438,2018-07-01,thank_you_call,780.505,11,12064.985
115346,2018-04-01,no_call,91.982,2,1378.173
116888,2018-06-01,thank_you_call,95.689,2,1298.851
118588,2018-03-01,thank_you_call,63.709371,3,1085.841
122243,2018-01-01,no_call,29.385785,1,740.316
123109,2018-11-01,thank_you_call,213.672899,5,3754.399
124137,2018-06-01,no_call,40.295695,5,3647.129
127790,2018-06-01,no_call,37.444,1,561.068
128299,2018-11-01,no_call,410.28658,5,7358.773
136204,2018-04-01,no_call,,,
137191,2018-10-01,thank_you_call,53.988,1,808.843
137403,2018-02-01,no_call,415.025127,10,5443.128
141369,2018-07-01,no_call,26.982142,1,672.061
141371,2018-08-01,thank_you_call,253.640376,7,3624.706
141865,2018-03-01,thank_you_call,545.27,11,18012.571
144618,2018-09-01,thank_you_call,59.741,1,717.349
145851,2018-02-01,no_call,63.756,2,955.264
152107,2018-02-01,thank_you_call,120.153,3,1742.262
152269,2018-04-01,thank_you_call,96.505046,2,2837.351
152431,2018-10-01,thank_you_call,47.459687,2,1255.433
153122,2019-03-01,no_call,33.561,2,994.126
156913,2018-09-01,thank_you_call,27.654,3,975.426
158235,2018-08-01,thank_you_call,35.882,3,1441.498
158825,2018-09-01,no_call,46.673,1,552.347
159422,2018-05-01,no_call,57.541,2,861.917
161698,2018-08-01,thank_you_call,61.138,2,732.921
162082,2018-01-01,thank_you_call,35.170157,1,634.78
162295,2018-11-01,no_call,88.836748,4,1528.98
163222,2018-03-01,thank_you_call,202.548049,19,7454.33
163565,2019-03-01,no_call,78.639,2,992.103
163654,2018-08-01,no_call,47.3,1,559.912
163817,2019-05-01,thank_you_call,7.392,1,780.181
165042,2019-02-01,no_call,79.057,3,1146.48
165183,2018-05-01,no_call,48.323,1,648.992
167264,2018-04-01,no_call,44.178772,3,954.89
168632,2018-02-01,thank_you_call,34.892,1,522.784
168891,2018-09-01,no_call,50.369,1,591.974
171374,2018-02-01,no_call,44.589963,2,858.67
